325,175,50,50,0,0,255,1
,425,175,50,50,0,0,255,1
,325,325,50,50,0,0,255,1
,425,325,50,50,0,0,255,1
,375,325,50,50,0,0,255,1
,275,275,50,50,0,0,255,1
,475,275,50,50,0,0,255,1

,525,275,50,50,0,255,0,1
,625,275,50,50,0,255,0,1
,525,425,50,50,0,255,0,1
,625,425,50,50,0,255,0,1
,575,425,50,50,0,255,0,1
,475,375,50,50,0,255,0,1
,675,375,50,50,0,255,0,1

,125,275,50,50,255,0,0,1
,225,275,50,50,255,0,0,1
,125,425,50,50,255,0,0,1
,225,425,50,50,255,0,0,1
,175,425,50,50,255,0,0,1
,078,375,50,50,255,0,0,1
,275,375,50,50,255,0,0,1
